[376.930, 310.647]
[377.190, 310.649]
[377.452, 310.391]
[377.713, 310.134]
[377.973, 310.136]
[378.234, 309.878]
[378.496, 309.621]
[378.757, 309.363]
[379.017, 309.365]
[379.278, 309.367]
[379.538, 309.369]
[379.798, 309.372]
[380.060, 309.114]
[380.320, 309.116]
[380.581, 308.859]
[380.842, 308.601]
[381.103, 308.603]
[381.364, 308.345]
[381.625, 308.088]
[381.887, 307.830]
[382.147, 307.832]
[382.408, 307.575]
[382.670, 307.057]
[382.932, 306.800]
[383.194, 306.282]
[383.458, 305.245]
[383.719, 304.988]
[383.981, 304.730]
[384.242, 304.473]
[384.502, 304.475]
[384.764, 304.217]
[385.025, 303.960]
[385.286, 303.702]
[385.547, 303.444]
[385.808, 303.447]
[386.069, 303.189]
[386.330, 302.931]
[386.592, 302.674]
[386.853, 302.416]
[387.114, 302.159]
[387.375, 301.901]
[387.637, 301.643]
[387.898, 301.386]
[388.159, 301.128]
[388.421, 300.870]
[388.682, 300.613]
[388.942, 300.615]
[389.203, 300.617]
[389.464, 300.360]
[389.725, 300.102]
[389.985, 300.104]
[390.247, 299.847]
[390.507, 299.849]
[390.766, 300.111]
[391.027, 300.113]
[391.287, 300.115]
[391.547, 300.117]
[391.807, 300.379]
[392.067, 300.381]
[392.327, 300.383]
[392.587, 300.386]
[392.847, 300.648]
[393.107, 300.650]
[393.366, 300.912]
[393.627, 300.914]
[393.887, 300.916]
[394.147, 300.918]
[394.408, 300.920]
[394.667, 301.182]
[394.928, 300.925]
[395.189, 300.927]
[395.449, 300.929]
[395.709, 300.931]
[395.970, 300.933]
[396.231, 300.676]
[396.492, 300.418]
[396.752, 300.420]
[397.015, 299.903]
[397.276, 299.645]
